date,AAPL,AMD,AMZN,CL,COIN,COPPER,EUR,GOLD,GOOGL,HOOD,INTC,JPY,MAG7,META,MSFT,MSTR,MU,NATGAS,NFLX,NVDA,ORCL,PLATINUM,PLTR,RIVN,SILVER,SNDK,TSLA,URNM,USA500,USTECH
2025-11-12,,,,,,,,,,,,,,,,,,,,6846968.22,,,,,,,,,,
2025-11-13,,,,,,,,,,,,,,,,,,,,19325776.82,,,,,,,9928569.22,,,
2025-11-14,,,,,,,,,,,,,,,,,,,,16578515.07,,,3185276.03,,,,16925307.32,,,
2025-11-15,,,,,,,,,,,,,,,,,,,,4360005.47,,,3385931.06,,,,3134495.04,,,
2025-11-16,,,,,,,,,,,,,,,,,,,,5169199.5,,,2281436.21,,,,3136850.23,,,
2025-11-17,,,,,,,,,,,,,,,,,,,,26163203.24,,,9727882.19,,,,20044503.01,,,
2025-11-18,,,3421455.88,,,,,,9997618.94,,,,,,,,,,,24899478.68,,,9180816.59,,,,15301946.6,,,
2025-11-19,,,9677279.55,,,,,,33285557.53,,,,,,7594099.63,,,,,68185602.38,,,12427912.72,,,,20310500.38,,,
2025-11-20,,,7700291.64,,,,,,37825023.53,,,,,6669591.66,7098001.33,,,,,54607681.56,,,13580938.31,,,,30769415.52,,,
2025-11-21,2515328.94,,8002604.34,,,,,,34733479.48,,,,,8386350.71,6150371.7,,,,,67463889.98,,,31177771.65,,,,33721502.69,,,
2025-11-22,1094196.58,,1028083.62,,,,,,4822408.43,,,,,628908.59,681739.7,,,,,6218763.31,,,2562939.08,,,,2537216.28,,,
2025-11-23,1112616.97,,1033339.15,,,,,,4329099.8,,,,,723644.13,803091.37,,,,,5686021.98,,,3388759.4,,,,3077073.41,,,
2025-11-24,8628606.0,,8856817.53,,,,,,40598662.36,,,,,7285992.3,5888749.74,,,,,41207647.24,,,18189225.25,,,,27381020.22,,,
2025-11-25,11149656.3,,11713931.97,,4411717.07,,,,47414272.91,,,,,12128125.59,8071114.81,,,,,67353469.25,,,13719260.2,,,,31958526.03,,,
2025-11-26,3892330.17,,3943117.98,,8669118.81,,,,34383668.69,6548126.14,,,,7856669.22,6674529.29,,,,,48834065.31,,,13011500.98,,,,26927770.12,,,
2025-11-27,1246914.59,,1195559.45,,1309241.46,,,,11528927.94,1798311.39,,,,1608756.61,1807866.47,,,,,14408150.24,,,2270481.99,,,,7560332.22,,,
2025-11-28,1921791.13,,4813108.78,,5774217.37,,,,31095158.18,3946158.79,,,,3069649.14,2931315.1,,,,,17644085.83,,,7717078.04,,,,16788618.93,,,
2025-11-29,756788.51,,982543.6,,814859.17,,,,7302413.79,406363.14,,,,968179.56,1216139.54,,,,,2660659.29,,,2114669.71,,,,2848908.84,,,
2025-11-30,451796.36,,1975946.6,,743967.25,,,,6309483.36,839154.05,,,,1979807.04,1143276.54,,,,,2980304.72,,,1748369.44,,,,2998158.11,,,
2025-12-01,3586309.92,,9448165.37,,12659288.29,,,,35164659.6,9895960.82,,,,4870663.44,4542483.95,,,,,43453110.81,,,11287119.81,,,,22494317.65,,,
2025-12-02,3567497.2,,13677849.95,,10618166.7,,,,26001765.58,8463529.98,,,,4433673.58,4105058.55,5210508.88,,,,43196026.78,,,12943339.89,,,,24341089.72,,,
2025-12-03,3625425.69,,9211625.94,,12103081.74,,,,18823179.29,9400063.55,3535261.97,,,3491442.42,6897895.08,7434725.63,,,,37598438.55,,,11787678.37,,,,35584299.58,,,
2025-12-04,4330076.64,4028580.96,10625734.8,,14280634.19,,,,14252698.8,12127983.16,1918571.26,,,14303816.92,6636140.12,11145150.08,,,,27256773.16,,,12029297.34,,,,29657617.97,,,
2025-12-05,1566551.82,2113637.36,5755124.29,,24567893.75,,,,15160677.93,10064995.51,1602842.17,,,8050609.19,3593800.15,13972767.04,,,,16501735.43,4646236.0,,9961234.91,,,,28756904.51,,,
2025-12-06,162518.16,92982.6,380680.77,,1418271.68,,,,1686993.4,462843.25,301860.46,,,273228.0,1197323.9,1161134.62,,,,1821591.23,97103.88,,986435.44,,,,1648346.57,,,
2025-12-07,204200.62,155813.09,414362.15,,1070974.1,,,,3133634.7,952278.65,167438.19,,,255151.26,383929.94,1271658.89,,,,1867600.39,180524.97,,702042.66,,,,1286439.38,,,
