date,AAPL,AMD,AMZN,CL,COIN,COPPER,EUR,GOLD,GOOGL,HOOD,INTC,JPY,MAG7,META,MSFT,MSTR,MU,NATGAS,NFLX,NVDA,ORCL,PLATINUM,PLTR,RIVN,SILVER,SNDK,TSLA,URNM,USA500,USTECH
2025-11-12,,,,,,,,,,,,,,,,,,,,6846968.22,,,,,,,,,,
2025-11-13,,,,,,,,,,,,,,,,,,,,13086372.52,,,,,,,9928569.22,,,
2025-11-14,,,,,,,,,,,,,,,,,,,,14250420.04,,,3185276.03,,,,13426938.27,,,
2025-11-15,,,,,,,,,,,,,,,,,,,,11777816.39,,,3285603.54,,,,9996123.86,,,
2025-11-16,,,,,,,,,,,,,,,,,,,,10456093.02,,,2950881.1,,,,8281305.45,,,
2025-11-17,,,,,,,,,,,,,,,,,,,,13073944.72,,,4645131.37,,,,10633944.96,,,
2025-11-18,,,3421455.88,,,,,,9997618.94,,,,,,,,,,,14763306.71,,,5552268.42,,,,11411945.24,,,
2025-11-19,,,6549367.71,,,,,,21641588.23,,,,,,7594099.63,,,,,23525968.74,,,6698209.13,,,,12683167.4,,,
2025-11-20,,,6933009.02,,,,,,27036066.67,,,,,6669591.66,7346050.48,,,,,28566240.84,,,7681456.16,,,,15660431.16,,,
2025-11-21,2515328.94,,7200407.85,,,,,,28960419.87,,,,,7527971.19,6947490.89,,,,,35835580.12,,,11680384.1,,,,18059887.64,,,
2025-11-22,1804762.76,,5965943.01,,,,,,24132817.58,,,,,5228283.65,5381053.09,,,,,36101116.95,,,11562813.82,,,,17974562.1,,,
2025-11-23,1574047.5,,5143842.36,,,,,,20832197.95,,,,,4102123.77,4465460.75,,,,,36174948.73,,,11721002.85,,,,17966022.56,,,
2025-11-24,3337687.12,,5674267.39,,,,,,23655978.58,,,,,4738897.48,4702675.58,,,,,38324155.02,,,12929766.14,,,,19014096.44,,,
2025-11-25,4900080.96,,6858906.83,,4411717.07,,,,29001214.86,,,,,5970435.5,5183881.18,,,,,44389010.81,,,13578115.23,,,,21393607.79,,,
2025-11-26,4732122.49,,6039740.89,,6540417.94,,,,29158087.89,6548126.14,,,,6239897.46,5052513.99,,,,,41624505.52,,,13661484.98,,,,22338932.04,,,
2025-11-27,4234235.65,,5110493.43,,4796692.45,,,,25401502.8,4173218.76,,,,5516921.02,4296780.44,,,,,35881715.33,,,12045705.51,,,,19023348.71,,,
2025-11-28,4149444.53,,4654851.21,,5041073.68,,,,24881742.62,4097532.11,,,,4757392.23,3836915.21,,,,,28764600.45,,,8694177.85,,,,16604365.32,,,
2025-11-29,4101243.38,,4648345.49,,4195830.78,,,,25236029.1,3174739.86,,,,4805859.51,3913258.05,,,,,28256299.88,,,8630139.37,,,,16648892.82,,,
2025-11-30,4006840.44,,4783003.7,,3620520.19,,,,25518941.03,2707622.7,,,,4985311.35,3961855.93,,,,,27869768.84,,,8395797.94,,,,16637619.21,,,
2025-12-01,3286512.43,,4867481.96,,4911772.77,,,,24742654.92,3905679.05,,,,4640264.37,3769532.24,,,,,28190549.35,,,7409782.88,,,,15939518.84,,,
2025-12-02,2203346.84,,5148041.68,,5798408.44,,,,21683725.31,4556800.62,,,,3541056.94,3202952.78,5210508.88,,,,24739486.14,,,7298937.12,,,,14851313.66,,,
2025-12-03,2165217.63,,5900685.67,,6288974.57,,,,19460798.25,4964220.25,3535261.97,,,2917453.11,3234862.18,6322617.25,,,,23134396.6,,,7124105.32,,,,16087960.72,,,
2025-12-04,2605669.35,4028580.96,7247853.58,,8142030.67,,,,19849908.37,6439887.64,2726916.62,,,4731033.16,3924615.55,7930128.2,,,,24969914.16,,,8518221.8,,,,19244715.83,,,
2025-12-05,2554920.88,3071109.16,7382427.22,,10826841.58,,,,17573554.05,7314007.17,2352225.13,,,5442598.88,4019256.28,9440787.91,,,,24806721.25,4646236.0,,8838815.64,,,,20954470.91,,,
2025-12-06,2470025.11,2078400.31,7296446.82,,10913043.37,,,,16771351.14,7322075.76,1839633.97,,,5343320.08,4016568.33,7784857.25,,,,24686854.38,2371669.94,,8677639.31,,,,20782962.02,,,
2025-12-07,2434654.29,1597753.5,7073363.32,,10959758.64,,,,16317658.47,7338236.42,1505194.81,,,5096940.69,3908090.24,6699324.19,,,,24527896.62,1641288.28,,8528164.06,,,,20538430.77,,,
2025-12-08,2203198.79,2632265.42,6146382.95,,10309548.27,,,,14371633.03,7039980.96,1682607.61,,,4875994.14,3863326.22,6585880.78,,,606386.09,23607490.83,1758163.51,,7706367.37,,,,19889499.83,,,
2025-12-09,2042806.97,2803717.25,4668402.48,,10001109.52,,,,12305793.19,7099991.24,1678823.31,,,4865471.84,3625900.51,7274865.89,,,520004.9,21493206.27,1652287.24,,6993034.56,,,,18919429.96,,,
2025-12-10,1880892.92,3158920.7,4596272.36,,9764081.15,,,,12160461.29,7231079.87,1475074.04,,549097.23,5172642.26,3507468.79,7507385.12,,,587966.76,19240970.53,2426751.88,,9595988.71,,,,17034465.74,,,
2025-12-11,1446315.66,2821976.18,3808582.52,,9282919.64,,,,12352044.75,7329158.38,1318809.36,,782353.78,3771349.98,3155991.3,6716210.95,,,680128.81,19561274.79,3458691.41,,9967886.54,,,,15000211.19,,,
2025-12-12,1458102.97,2985638.1,3417376.38,,7270674.7,,,513946.33,12012636.35,8103027.43,1321404.27,,791689.44,3249510.3,2933757.21,5316264.58,,,819226.38,20959551.52,3805062.07,,10303524.81,,,,13925873.61,,,
2025-12-13,1445449.16,2997478.99,3375499.5,,7159172.79,,,346232.14,11833076.62,8071731.58,1302383.4,,682899.79,3261833.13,2771913.37,5168505.96,,,686839.43,20887401.26,3807419.37,,10194679.3,,,,13881176.71,,,
2025-12-14,1472238.76,2982902.8,3331369.33,,7071108.61,,,293417.71,11535885.73,8029863.46,1314400.07,,583438.01,3272818.53,2746105.5,5093500.79,,,626237.98,21188629.51,3830627.0,,10139764.19,,,,14080833.25,,,
2025-12-15,1422381.31,2158678.42,3439000.98,,6702443.88,,,427258.41,9022805.37,7786672.57,1184125.15,,599064.05,3054206.33,2284174.47,5038887.24,,,639718.22,18280178.78,4106251.02,,10425756.08,,,,16298757.61,,,
2025-12-16,1299291.68,1869508.83,3587972.41,,6170676.41,,,630981.08,8496691.6,7498385.16,1087460.55,,663771.32,2718525.49,2102887.32,4253089.06,,,674095.32,16035270.01,4227908.86,,10509050.19,,,,21164804.47,,,
2025-12-17,1329806.51,1410247.82,3185868.17,,6212674.35,,,740114.86,7502547.52,7470944.25,903171.71,,878415.31,2531084.38,1503490.55,3769124.84,,,746631.73,15946054.72,4008712.74,,7741822.01,,551774.13,,23742619.63,,,
2025-12-18,1760738.37,1362026.43,2977699.16,,5875933.9,,,1025271.93,6454631.5,6764122.09,942671.47,,978855.92,2242024.15,1077398.32,4437623.13,,,729812.17,13850234.19,3361817.97,,7318101.75,,1694469.03,,26525886.22,,,
