date,Commodities,Stocks & Indices,Forex,Total
2025-11-12,,6846968.22,,6846968.22
2025-11-13,,29254346.04,,29254346.04
2025-11-14,,36689098.43,,36689098.43
2025-11-15,,10880431.57,,10880431.57
2025-11-16,,10587485.95,,10587485.95
2025-11-17,,55935588.44,,55935588.44
2025-11-18,,62801316.7,,62801316.7
2025-11-19,,151480952.19,,151480952.19
2025-11-20,,158250943.56,,158250943.56
2025-11-21,,192151299.48,,192151299.48
2025-11-22,,19574255.59,,19574255.59
2025-11-23,,20153646.21,,20153646.21
2025-11-24,,158036720.62,,158036720.62
2025-11-25,,207920074.13,,207920074.13
2025-11-26,,160740896.72,,160740896.72
2025-11-27,,44734542.36,,44734542.36
2025-11-28,,95701181.29,,95701181.29
2025-11-29,,20071525.14,,20071525.14
2025-11-30,,21170263.47,,21170263.47
2025-12-01,,157402079.66,,157402079.66
2025-12-02,,156558506.81,,156558506.81
2025-12-03,,159493117.8,,159493117.8
2025-12-04,,162593075.39,,162593075.39
2025-12-05,,146315010.06,,146315010.06
2025-12-06,,11691313.95,,11691313.95
2025-12-07,,12046048.99,,12046048.99
2025-12-08,,128394061.89,,128394061.89
2025-12-09,,112372971.67,,112372971.67
2025-12-10,,159740951.12,,159740951.12
2025-12-11,,133664823.61,,133664823.61
2025-12-12,513946.33,127997859.15,,128511805.48
2025-12-13,178517.94,5739967.4,,5918485.34
2025-12-14,187788.86,12020553.82,,12208342.68
2025-12-15,828780.5,94965519.65,,95794300.15
2025-12-16,1445871.79,112386046.07,,113831917.86
2025-12-17,1837557.89,135407743.98,,137245301.87
2025-12-18,5573378.24,118099347.07,,123672725.31
2025-12-19,5631776.7,91515268.92,,97147045.62
2025-12-20,315326.61,11819712.04,,12135038.65
2025-12-21,1061979.06,4267259.87,,5329238.93
2025-12-22,6504191.79,76985949.25,,83490141.04
2025-12-23,8844484.66,57588028.49,748240.98,67180754.13
2025-12-24,8267158.1,52808261.0,961450.18,62036869.28
2025-12-25,3008440.26,8398494.46,262509.93,11669444.65
2025-12-26,25448296.82,39628135.72,523566.13,65599998.67
2025-12-27,9955601.64,6881984.07,88041.14,16925626.85
2025-12-28,26281816.24,12334175.63,56705.29,38672697.16
2025-12-29,84828440.54,61853610.81,1204717.43,147886768.78
2025-12-30,57645076.64,54753275.58,1099359.55,113497711.77
2025-12-31,53753538.75,58547683.34,1238493.88,113539715.97
2026-01-01,7735418.8,7802212.68,231559.51,15769190.99
2026-01-02,39303846.36,74586332.74,1599746.72,115489925.82
2026-01-03,8394838.24,20827452.59,832220.78,30054511.61
2026-01-04,10096417.36,13049156.24,1774515.28,24920088.88
2026-01-05,42748130.13,88733744.98,1493164.52,132975039.63
2026-01-06,76389501.5,75319556.29,2211411.71,153920469.5
2026-01-07,73109003.01,80830244.95,3643909.11,157583157.07
2026-01-08,47695688.21,125929858.94,2476871.65,176102418.8
2026-01-09,49235676.61,59943969.86,2177992.79,111357639.26
2026-01-10,16382665.71,11950989.61,421050.83,28754706.15
2026-01-11,16633280.15,15279785.23,72052175.53,103965240.91
2026-01-12,113661441.26,112582801.69,8798155.54,235042398.49
2026-01-13,139081413.44,200198590.06,4357873.99,343637877.49
2026-01-14,198016531.6,166887320.22,2898206.93,367802058.75
2026-01-15,258731234.24,132512715.3,3723712.03,394967661.57
2026-01-16,207972657.29,108089479.41,3607265.4,319669402.1
2026-01-17,13630667.28,19102179.17,2200295.9,34933142.35
2026-01-18,60252655.92,17846297.13,2749441.98,80848395.03
2026-01-19,150653489.94,66877384.85,3308738.49,220839613.28
2026-01-20,220433294.67,193410423.17,6311358.97,420155076.81
2026-01-21,338333917.27,247512406.05,4626402.28,590472725.6
2026-01-22,255578384.24,244665014.55,4434898.31,504678297.1
2026-01-23,409985052.95,219215593.33,7876999.6,637077645.88
2026-01-24,100600415.63,21729101.33,1970424.27,124299941.23
2026-01-25,187622309.38,75673367.35,59441881.81,322737558.54
2026-01-26,1190634871.98,219520971.73,10882545.3,1421038389.01
2026-01-27,1373608715.55,194959090.67,12146608.49,1580714414.71
2026-01-28,1562036412.04,331471100.8,12883410.72,1906390923.56
2026-01-29,2504726524.51,464288625.73,8683421.12,2977698571.36
