date,Commodities,Stocks & Indices,Forex,Total
2025-11-12,,6846968.22,,6846968.22
2025-11-13,,18050657.13,,18050657.13
2025-11-14,,24263470.9,,24263470.9
2025-11-15,,20917711.07,,20917711.07
2025-11-16,,18851666.04,,18851666.04
2025-11-17,,25032319.78,,25032319.78
2025-11-18,,30427890.76,,30427890.76
2025-11-19,,51089888.47,,51089888.47
2025-11-20,,69517973.83,,69517973.83
2025-11-21,,91726859.7,,91726859.7
2025-11-22,,92968834.56,,92968834.56
2025-11-23,,94335428.88,,94335428.88
2025-11-24,,108921304.91,,108921304.91
2025-11-25,,129652555.97,,129652555.97
2025-11-26,,130975405.19,,130975405.19
2025-11-27,,114758776.44,,114758776.44
2025-11-28,,100980188.13,,100980188.13
2025-11-29,,101051226.64,,101051226.64
2025-11-30,,101196457.68,,101196457.68
2025-12-01,,101105794.68,,101105794.68
2025-12-02,,93768427.92,,93768427.92
2025-12-03,,93590173.79,,93590173.79
2025-12-04,,110427107.08,,110427107.08
2025-12-05,,117657654.05,,117657654.05
2025-12-06,,116460481.02,,116460481.02
2025-12-07,,115157021.81,,115157021.81
2025-12-08,,111013019.27,,111013019.27
2025-12-09,,104700799.96,,104700799.96
2025-12-10,,104736204.72,,104736204.72
2025-12-11,,100603597.33,,100603597.33
2025-12-12,513946.33,97986861.48,,98060282.39
2025-12-13,346232.14,97136669.12,,97235592.59
2025-12-14,293417.71,97133026.95,,97258777.4
2025-12-15,427258.41,92357520.92,,92601668.58
2025-12-16,630981.08,92359388.69,,92810089.46
2025-12-17,832077.22,88883216.24,,89596425.28
2025-12-18,1509405.94,86659576.73,,88168982.67
2025-12-19,2240524.56,81447778.13,,83688302.69
2025-12-20,2260068.66,82316313.08,,84576381.73
2025-12-21,2384952.97,81208699.66,,83593652.63
2025-12-22,3195726.01,78640189.6,,81835915.61
2025-12-23,4252670.71,70811901.37,748240.98,75171463.65
2025-12-24,5171185.02,59011975.23,854845.58,64427401.85
2025-12-25,4804765.31,43340424.86,657400.36,48426933.19
2025-12-26,7635696.76,35927977.26,623941.81,43920212.19
2025-12-27,9012878.9,35222587.55,516761.67,44604581.94
2025-12-28,12615712.79,36375004.09,440085.61,49367933.11
2025-12-29,23804891.18,34213241.45,549318.73,58567451.36
2025-12-30,30776404.32,33808276.75,599478.52,65184159.59
2025-12-31,37274458.7,34628194.23,639056.19,72541709.12
2026-01-01,37949741.35,34543011.12,634634.7,73127387.17
2026-01-02,39929105.57,39537039.26,788374.79,80254519.62
2026-01-03,39706139.37,41529249.05,894686.17,82130074.59
2026-01-04,37393939.53,41631389.14,1140087.59,80165416.26
2026-01-05,31382466.61,45471408.31,1181294.32,78035169.24
2026-01-06,34060241.59,48409448.41,1340158.91,83809848.91
2026-01-07,36825307.91,51592671.5,1683789.66,90101769.07
2026-01-08,42533917.83,68468049.53,2004548.54,113006515.9
2026-01-09,43952750.72,66376283.41,2087155.12,112416189.25
2026-01-10,45093868.93,65108217.27,2028416.56,112230502.76
2026-01-11,46027706.47,65426878.55,12068082.31,123522667.33
2026-01-12,56158179.49,68833886.65,13111652.45,138103718.6
2026-01-13,65114166.91,86673748.62,13418289.92,165206205.45
2026-01-14,82958099.57,98967616.52,13311761.04,195237477.12
2026-01-15,113106034.72,99908024.57,13489881.09,226503940.37
2026-01-16,135782746.24,106785954.5,13694062.89,256262763.64
2026-01-17,135389603.61,107807553.01,13948240.76,257145397.38
2026-01-18,141620943.0,108174197.57,4047850.25,253842990.83
2026-01-19,146905521.39,101644852.31,3263647.82,251814021.51
2026-01-20,158527218.71,100675114.18,3542717.1,262745049.98
2026-01-21,178572559.52,112192983.58,3789602.15,294555145.25
2026-01-22,178122152.37,128214740.62,3891200.19,310228093.18
2026-01-23,206981066.04,144089899.75,4501162.22,355572128.01
2026-01-24,219405315.8,144465174.34,4468323.41,368338813.56
2026-01-25,237600980.58,152726184.38,12567243.39,402894408.35
2026-01-26,386169749.45,174532411.07,13649215.79,574351376.31
2026-01-27,550909095.29,174753649.29,14482822.87,740145567.44
2026-01-28,725723737.4,186747748.54,15662395.5,928133881.43
2026-01-29,1047030614.58,218122550.13,16269327.33,1281422492.04
2026-01-30,1509837977.71,254059588.29,16401925.77,1780299491.78
2026-01-31,1532398572.73,258490325.53,16434381.15,1807323279.41
2026-02-01,1555232135.9,263264044.51,8357047.65,1826853228.06
2026-02-02,1736145035.45,332138083.81,7859186.77,2076142306.03
2026-02-03,1807103707.57,373135148.99,6920635.03,2187159491.59
2026-02-04,1832304132.12,388841431.19,6068117.99,2227213681.31
2026-02-05,1961635574.84,417142399.9,5553704.66,2384331679.4
2026-02-06,1755796512.77,426680754.5,5168407.59,2187645674.86
2026-02-07,1724191777.19,423721002.66,4999610.27,2152912390.12
2026-02-08,1698013349.36,413830641.44,5140517.21,2116984508.01
2026-02-09,1450761640.74,365550537.18,4993335.95,1821305513.87
2026-02-10,1251637113.66,348318163.47,4702807.7,1604658084.83
2026-02-11,1088796691.46,341140588.41,4719946.02,1434657225.89
2026-02-12,730112144.52,306654451.32,4710606.01,1041477201.86
2026-02-13,495390497.88,292157659.97,4182171.47,791730329.32
2026-02-14,492606289.48,292455431.77,4121061.83,789182783.07
2026-02-15,485327734.24,295130927.85,3710449.66,784169111.74
2026-02-16,412629187.77,255973016.89,3116294.56,671718499.22
2026-02-17,427600750.62,258613926.13,3042970.18,689257646.92
2026-02-18,387094408.07,242319649.31,2658686.85,632072744.23
2026-02-19,308030523.45,224255704.98,3313581.35,535599809.79
2026-02-20,322004815.86,224304866.7,4612073.29,550921755.84
2026-02-21,326488739.14,228471281.2,5207635.19,560167655.53
2026-02-22,338960663.58,227953352.73,6241412.01,573155428.32
2026-02-23,401111340.47,264723642.14,7149124.77,672984107.38
2026-02-24,448138103.09,264099555.35,7699186.29,719936844.74
2026-02-25,562633988.48,283952396.96,9473458.27,856059843.71
2026-02-26,632639915.57,315510865.02,10095235.89,958246016.48
2026-02-27,641172445.14,317468305.68,11481611.97,970122362.79
2026-02-28,700012523.58,329406966.57,13368280.47,1042787770.62
2026-03-01,727599544.92,339027005.69,15109392.15,1081735942.77
2026-03-02,846037759.49,381896602.32,17059020.68,1244993382.48
2026-03-03,1036945086.21,459386250.82,19144521.69,1515475858.72
2026-03-04,1077941798.55,481212319.44,20312039.59,1579466157.58
2026-03-05,1131805577.57,476800846.68,22057161.79,1630663586.04
2026-03-06,1190589959.01,483684482.51,23232735.63,1697507177.15
2026-03-07,1150044433.84,481196514.13,24405523.57,1655646471.54
2026-03-08,1168594050.01,482281218.08,25666619.85,1676541887.94
2026-03-09,1042976461.83,403747202.27,24023168.35,1470746832.45
